Key,Target Language,Text,Status,Response
044a40d3,wolof,"Ñu gis ci nataal bi ay nit ñu bari ñu génn ci tali, ñu yékkati seen i loxo, ñenn ñi sukku yékkati seen loxo, ñu bind ci nataal bi ""La Casamance"", mooy diiwaanu Kaasamaas.",Approved,549: 1
86a8fd9f,wolof,"Nataal bi, ñu ngi bind ci kowam ""Casamance"". Ay xale yu góor yoo xam ne, dañoo nekk ay waxambaane, tollu ci seen doole, génn ci digg tali bi, di fésal seenuw naqar ci li leen metti. Ñoom ñépp ñu ngi àndandoo tàllal seen i loxo, ñii sukk ci suuf, ñii taxaw, ku ci nekk ak anam bi nga koy weneen.",Approved,2602: 1
e443accc,wolof,"Salaawaalekum ! Ñii de, mel nañ ne, ay nit ñu dëkk kaasamaas, benn dëkk bu nekk Senegaal, ñoom ñooy wane seenuw naqar nii, daldi taxaw nii, ñenn ñi toog, ñenn ñi taxaw, jël seen loxo yi dajale ko ngir wane seenuw naqar. Ñoo ngi toog ci tali bi.",Approved,3030: 1
48a14b96,wolof,"Lii, ay nit lañu yu génn di ñaxtu. Jëm yi nag ñu ngi sol seen i yére yu weex ak seen i tubéy yu baxa, nekk ci tali bi di wane seen aw naqar. Ñu ngi bind ci digg bi mbindum farañse mu baxa.",Approved,2996: 1
79a94c54,wolof,"Lii de ay nit lañu, ñoo xamante ne dañoo toog, ñenn ñi dañoo toog sukk seen i bëti wóom, ñenn ñi taxaw, ñenn ñiy dox, mel ni nag dañiy defub peeñu, di feeñal seen mbégte walla ñi feeñal seen naqar. Waaye, ni ñu tàllalee seen i loxo daal, mel na ni ñu daal, ñu ak mbégte, uuhun. Waaye,  ñu ngi taxaw ci xàll wu ñuul daal, ci béréb bu yaatu.",Corrected,1884: 1
a13b57f9,wolof,Nataal bii maa ngi ciy janloog haa ay nit yu bari yuy dox di dox ab ñaxtu ñi ngi bank seen i loxo di wane ni lu amul benn taafar lañuy deme.,Approved,3684: 1
047cbbce,wolof,Waaw nataal bii nataal la boob ay nit ñu baree bari ñoo xam ni dañuy doxub ñaxtu ñoo ci nekk tàllal seen i loxo ñee sukku ñeel taxaw jodd di dox ñu bind ci kaw nataal bi lu xaw a baxa la bind ci laa kaasamãs.,Approved,3643: 1
239c07fa,wolof,"Bismillah ! Nataal bii mi ngi wane am mbooloo, mbooloo mu xaw a takku. Waaye ñu ngi mel ni ñu taxawa taxawaayu ñaxtu. Ñii  ñu ngi tàllal seen i ñaari loxo yi ci kow, ñi ñu ngi sukk seen i ñaari óom di wax ci mbirum Kaasamaas.",Approved,2494: 1
d7b57bff,wolof,"Waaw, nataal bii ñu ngi ci gis ay nit ñu yëkkati seen i loxo, ñii taxaw, ñu yëkkati seen i loxo añs. ãhã...",Approved,3375: 1
c115fa23,wolof,"foto bii nag dafa mel ni benn ñaxtukat moo yékkati drapóo bu Senegaal, jël ko yékkati ko ba ci kow, wone ne ki moom nanguwul, walla sax lin ko teg metti na. manifestã boobu nag, walla sax ñaxtukaxtukat boobu ci daara ju kawe jii ñu naan UCAD fa la koy defe nii.",Approved,19: 2
84a508a4,wolof,"Nataal bii, am jëmm la ju toog ci ""point 1"", yor ab daraapóo Senegaal, tàllal ay loxoom mel ne ku doon ñaxtu. xeer yu baree ngi ci kanamam ak mbooloo mu bare ci ginaawam.",Approved,3493: 2
